Name; Note; Talks
Sara Robinson;4.0536231884;"Google Dataflow: The new open model for batch and stream processing  #  Analyzing Images with Google's Cloud Vision API"
Cédric Hauber;4.0512820513;"Kubernetes University, Cap sur l’orchestration Docker !"
Jean-Baptiste Claramonte;4.0512820513;"Kubernetes University, Cap sur l’orchestration Docker !"
Jean-Michel Doudoux;4.0420168067;"Retours sur Java 8"
Carl Azoury;4.0384615385;"// TODO Implémenter le modèle de l’entreprise [de service] de demain"
David Gageot;4.03333333335;"Docker for Windows & Mac : mais pourquoi on n'a pas eu ça dès le début ?  #  Exploiter les nouveautés de Docker pour déployer un jeu distribué. "
Guillaume Laforge;4.0288461538;"Le design d'API REST, un débat sans fin ?"
Alexis Duque;4;"Des LEDs pour remplacer votre routeur WIFI ?"
Antoine Sabot-Durand;4;"Les nouveautés de CDI 2.0"
David Delabassee;4;"Java SE 8 pour les développeurs Java EE"
Thomas Park;4;"Architecture Informatique...hands-on et en direct !"
Grégory Paul;4;"HTTPS n’aura plus de secret pour vous"
Jérémie Bresson;4;"Comment Asciidoctor peut vous aider pour votre doc"
DuyHai DOAN;4;"Apache Zeppelin, un notebook d'avenir pour l'éco-système Big Data  #  Algorithmes distribués pour le Big Data, saison 2"
Matthieu Blanc;4;"Apache Kafka - Stream Data Platform"
Sylvain Lequeux;4;"Apache Kafka - Stream Data Platform"
Romeu MOURA;3.9772727273;"Property-Based Testing, enfin pour tout le monde"
Pierre-Yves Ricau;3.9509803922;"Bouchez vos fuites mémoires avec LeakCanary!  #  Sharper Better Faster Dagger ‡"
Spencer Gibb;3.9431818182000002;"The Spring BOF  #  Spring Cloud *: Exploring Spring Cloud Implementations"
Benoît Lafontaine;3.94207317075;"Ce que les stratégies de versioning nous disent des dynamiques d’équipe  #  La Blockchain en détail"
Florent Le Gall;3.9393939394000004;"Baptême du feu avec Rx  #  L'architecture Redux en RxJS"
Felipe Hoffa;3.9333333333;"Google Dataflow: The new open model for batch and stream processing"
Thomas Lorblanchès;3.9285714286;"Des compilations vraiment reproductibles avec Maven"
Anne Gabrillagues;3.9230769231;"Boostez votre amélioration continue avec Popcorn Flow !"
Youcef Yekhlef;3.9230769231;"Rancher, le (petit) orchestrateur docker qui vous veut du bien"
Christophe Furmaniak;3.9230769231;"Rancher, le (petit) orchestrateur docker qui vous veut du bien"
Nathaniel Richand;3.9183673469;"Dashing deux en un, pour un dashboard étincelant!"
Arnaud Héritier;3.9035087719;"BOF Jenkins  #  Apache Maven, Java 9 et le projet Jigsaw"
David Sferruzza;3.9;"Gérer les erreurs avec l'aide du système de types de Scala !"
Nicolas Bourgeois;3.9;"L'odyssée du Continuous Delivery"
David Caramelo;3.9;"L'odyssée du Continuous Delivery"
Diego Lemos;3.9;"L'odyssée du Continuous Delivery"
Mikaël Barbero;3.8947368421;"The Eclipse IDE: The Force Awakens"
Mathieu ANCELIN;3.89423076925;"Let's React  #  Let's React : le lab !!!"
Vincent Beretti;3.88685770755;"Performance: Java vous déclare sa flamme  #  Typescript, typer pour mieux coder"
Paul Pinault;3.8823529412;"Construire un Fitbit-like pour chien et chat"
Daniel PETISME;3.8823529412;"Construire un Fitbit-like pour chien et chat"
Hugo Wood;3.875;"Kill all the REST with the Falcor"
Bertrand Paquet;3.875;"Traiter 3 milliards de requêtes par jour. Qu'avons nous appris ?"
Vincent Spiewak;3.875;"Continuous Delivery avec GoCD"
Hicham Tolimat;3.8652173913;"DevOps vu par un Hacker  #  BOF Sécurité et DevOps partie 1"
David Wursteisen;3.86165730335;"Architecture découplée grâce aux Reactive Extensions  #  À la découverte de la plateforme Android"
Gérôme EGRON;3.8589743590000003;"Kubernetes University, Cap sur l’orchestration Docker !  #  Où sont passés mes serveurs ?"
Quentin Klein;3.8571428571;"La voiture connectée - un IoT au potentiel immense"
Vlad Mihalcea;3.8333333333;"High-Performance Hibernate"
Thomas Fournaise;3.8;"Rendez vos données vivantes avec D3.JS"
Atef Haouari;3.8;"Tango, you rock ! La vraie réalité virtuelle"
Fabien Mirault;3.8;"Swift : nouvelles du front"
Simone Civetta;3.8;"Swift : nouvelles du front"
Julien Viet;3.8;"Vert.x - passez de 0 à (micro-) héros"
Clement Escoffier;3.8;"Vert.x - passez de 0 à (micro-) héros"
Zouheir Cadi;3.8;"Unit test my search"
Nicolas Peters;3.7954545455;"Performance: Java vous déclare sa flamme"
Clément Delafargue;3.7948717948499997;"TDD, comme dans Type-Directed Development  #  How does Clever Cloud work? Radical decisions leads to great design."
Nicolas PERU;3.7894736842;"SonarLint in action"
Julien HENRY;3.7894736842;"SonarLint in action"
Joel Spolsky;3.7741935484;"The impact of code in society"
Sébastien LECACHEUR;3.75;"RAML une autre façon de concevoir vos APIs RESTful"
Nicolas Poirier;3.7407407407;"Mon appli est secure ! Enfin je crois..."
Jean-Louis Boudart;3.7407407407;"Mon appli est secure ! Enfin je crois..."
Damien Lecan;3.7;"Sécurisez vos applications Web gratuitement en quelques minutes avec Let's Encrypt"
Romain Maton;3.6739130435;"la-quête-du-graal.js"
Siegfried Ehret;3.6739130435;"la-quête-du-graal.js"
Alexis Agahi;3.6666666667;"Web Real Time Communication par la pratique"
Guillaume LOURS;3.6666666667;"Web Real Time Communication par la pratique"
Azzeddine RAMRAMI;3.6666666667;"Securiser son développement avec 10 outils open-source"
Sébastien Gioria;3.6666666667;"Securiser son développement avec 10 outils open-source"
Jean-Eudes Couignoux;3.6666666667;"A la découverte du service discovery"
Jean-Christophe Sirot;3.6666666667;"Déployez vos applications sur un cluster Kubernetes avec Ansible"
Antoine Legrand;3.6666666667;"Déployez vos applications sur un cluster Kubernetes avec Ansible"
Smaine Kahlouch;3.6666666667;"Déployez vos applications sur un cluster Kubernetes avec Ansible"
Philippe Antoine;3.6664516129;"Développez votre première application décentralisée sur la blockchain avec Ethereum et Embark  #  Vue.js une alternative plus simple que React.js et Angular2 ?"
Cyril Balit;3.6607142857;"Progressive Web Apps  #  Angular 2 hands on"
Nicolas Garnier;3.6551724138;"L'Expérience Développeur et votre API"
Eric Horesnyi;3.6474358974500003;"Société programmable : développeurs citoyens  #  Paris est résilient"
Hervé Lourdin;3.6341463415;"Ce que les stratégies de versioning nous disent des dynamiques d’équipe"
Olivier Revial;3.625;"Microservices IRL: ça fonctionne chez un client, on vous dit comment!"
Stéphane Lagraulet;3.625;"Microservices IRL: ça fonctionne chez un client, on vous dit comment!"
Benoit Lemoine;3.6208333333500002;"D'Angular 1 à Angular 2 : Préparez vous dès maintenant à la migration  #  Modulariser votre JavaScript avec JSPM et SystemJs"
Cédric Tran-Xuan;3.6097560976;"Devenez un King avec Kong"
Séven Le Mesle;3.5925925926;"Test Driven Infrastructure avec Docker "
Mickael Débonnaire;3.5769230769;"Boucle de feedback pour le développeur"
Christophe Jollivet;3.5769230769;"Boucle de feedback pour le développeur"
Aurélien Maury;3.5416666667;"Ansible hors des sentiers battus"
Florent Ramière;3.5405405405;"La magie des structures d'Elasticsearch et de Lucene"
Sébastien PRUNIER;3.5384615385;"Let's React : le lab !!!"
Richard Fontana;3.5197568389;"Software development, responsibility and ethics: the coming crisis  #  The State of Open Source Licensing"
Gilles Portier;3.5;"Application Performance Management : facilitateur de DevOps. Etude du cas Groupama"
Gabriel Bechara;3.4761904762;"OpenShift : le PaaS à la sauce Kubernetes et Docker"
Hervé Boutemy;3.4736842105;"Apache Maven, Java 9 et le projet Jigsaw"
Mehdi BEN HAJ ABBES;3.45;"Analytics et Big Data, une histoire de cubes..."
Mathias kluba;3.45;"Analytics et Big Data, une histoire de cubes..."
Marie-Laure Thuret;3.4444444444;"JGiven: enfin une réelle documentation vivante."
Clément Heliou;3.4444444444;"JGiven: enfin une réelle documentation vivante."
Samuel Vaillant;3.4166666667;"Modulariser votre JavaScript avec JSPM et SystemJs"
Fred Simon;3.4074074074;"Cycle de vie des images Docker : problèmes et solutions"
David Shay;3.3571428571;"Le réveil de la Thread"
Brice Dutheil;3.3483146067;"Architecture découplée grâce aux Reactive Extensions"
Philippe COMTE;3.3157894737;"L'intelligence artificielle avec les services IBM Watson sur la plateforme Bluemix"
Craig Morrison;3.3043478261;"Combining stream processing and in-memory datagrids for near-real time aggregation & notifications"
Alexandre Vasseur;3.3043478261;"Combining stream processing and in-memory datagrids for near-real time aggregation & notifications"
Olivier Mallassi;3.3043478261;"Combining stream processing and in-memory datagrids for near-real time aggregation & notifications"
Guillaume Arnaud;3.3;"3 nuances de MoM"
Louis Jacomet;3.2857142857;"Ehcache hors de son Element"
Claude Falguiere;3.25;"H2O, l'analyse prédictive sans coder ... ou presque"
Thierry Abaléa;3.2424242424000003;"Apprendre à utiliser la cryptographie par l’attaque  #  Débridez les performances de vos applications avec Chronicle Queue"
Guillaume Scheibel;3.1333333333;"Akka: découvrons les bases"
Fabien Arcellier;3.1111111111;"Infra as Code, choisissez vous la pilule rouge ou la pilule bleue ?"
Alexandre Raoul;3.1111111111;"Infra as Code, choisissez vous la pilule rouge ou la pilule bleue ?"
Cyril Collen;3.1111111111;"Déploiement d'une app distribuée sur Mesos avec Docker, Marathon et MesosDNS"
Bertrand Dickelé;3.1111111111;"Déploiement d'une app distribuée sur Mesos avec Docker, Marathon et MesosDNS"
Julia Mateo;3.1111111111;"Déploiement d'une app distribuée sur Mesos avec Docker, Marathon et MesosDNS"
Natacha Quester-Séméon;3.078313253;"L'entrepreunariat au feminin"
Thomas BRISBOUT;3.0416666667;"Conquérir le desktop avec Electron"
Emmanuel DEMEY;3;"Angular 2 hands on"
Wassim Chegham;3;"Angular 2 hands on"
Riad Maouchi;3;"Débridez les performances de vos applications avec Chronicle Queue"
Christian Châteauvieux;3;"Mise en oeuvre effective de l'IBM Bluemix Garage Method avec DevOps Toolchains"
Philippe Mulet;3;"Mise en oeuvre effective de l'IBM Bluemix Garage Method avec DevOps Toolchains"
